latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.790861,76.6313,88.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),wind_speed_10m_max (km/h),temperature_2m_mean (°C)
2016-07-14,27.8,23.0,1.80,16.1,25.0
2016-07-15,28.2,23.6,5.10,13.5,25.1
2016-07-16,28.3,23.5,0.90,13.8,25.4
2016-07-17,28.8,23.3,6.10,15.1,25.2
2016-07-18,26.5,22.7,1.80,12.6,24.2
2016-07-19,29.6,22.6,0.00,15.2,25.6
2016-07-20,28.9,23.3,0.10,15.6,25.4
2016-07-21,28.3,22.9,0.50,16.5,25.3
2016-07-22,27.2,22.6,4.40,17.7,24.4
2016-07-23,24.7,22.7,13.00,13.7,23.4
2016-07-24,27.4,22.7,4.70,17.7,24.3
2016-07-25,28.2,23.2,4.30,16.8,24.7
2016-07-26,28.4,23.4,3.20,12.1,25.1
2016-07-27,27.5,23.5,9.70,12.6,24.8
2016-07-28,28.8,23.5,3.50,13.9,25.2
2016-07-29,28.6,23.3,2.50,15.4,25.1
2016-07-30,28.1,22.7,1.80,16.3,24.6
2016-07-31,29.3,22.6,0.10,18.7,25.2
2016-08-01,27.6,22.6,1.80,20.3,24.8
2016-08-02,28.4,22.6,2.80,21.0,25.0
2016-08-03,28.0,23.0,4.80,22.0,24.8
2016-08-04,28.0,22.7,3.20,20.9,24.7
2016-08-05,27.9,22.9,1.00,17.9,24.6
2016-08-06,30.0,22.8,0.00,20.5,26.0
2016-08-07,28.8,23.1,0.30,19.1,25.5
2016-08-08,30.1,23.1,0.00,19.2,26.1
2016-08-09,29.6,23.3,0.70,18.0,25.6
2016-08-10,29.9,22.9,1.00,19.4,25.9
2016-08-11,29.9,23.3,0.70,18.7,25.9
2016-08-12,29.6,23.5,3.50,18.2,25.5
2016-08-13,29.3,23.5,0.50,19.4,25.7
2016-08-14,28.8,23.0,2.90,19.1,25.3
2016-08-15,29.2,22.9,0.70,20.4,25.4
2016-08-16,29.3,22.8,1.80,21.6,25.3
2016-08-17,27.8,22.7,1.50,22.1,24.9
2016-08-18,28.5,22.8,0.50,18.7,25.0
2016-08-19,30.1,22.6,0.20,18.1,25.7
2016-08-20,30.3,23.4,0.60,18.1,26.1
2016-08-21,29.8,23.6,0.80,16.4,26.0
2016-08-22,29.5,23.5,1.70,16.4,26.0
2016-08-23,29.2,23.3,1.40,19.0,25.6
2016-08-24,29.9,23.2,1.30,18.0,25.7
2016-08-25,29.4,23.4,1.10,17.4,25.4
2016-08-26,29.1,23.4,2.20,16.0,25.0
2016-08-27,28.7,23.0,1.50,17.8,25.0
2016-08-28,29.7,22.9,1.20,18.5,25.7
2016-08-29,29.7,23.1,9.00,17.8,25.3
2016-08-30,26.5,23.3,18.80,13.6,24.4
2016-08-31,26.2,22.9,5.80,12.9,24.2
2016-09-01,28.3,23.0,9.90,16.3,24.5
2016-09-02,25.7,22.7,4.00,15.0,23.9
2016-09-03,28.7,22.7,0.60,17.4,24.7
2016-09-04,28.5,23.3,0.50,17.0,25.2
2016-09-05,29.2,23.1,0.00,17.7,25.5
2016-09-06,29.0,22.6,1.10,18.3,25.1
2016-09-07,29.6,22.3,0.00,17.7,25.4
2016-09-08,28.6,22.6,1.20,16.5,25.0
2016-09-09,30.0,22.5,0.50,14.8,25.9
2016-09-10,30.4,23.4,0.00,16.5,26.0
2016-09-11,29.5,23.0,0.30,15.9,25.8
2016-09-12,29.0,23.1,2.10,18.1,25.3
2016-09-13,28.6,23.0,1.00,14.8,25.1
2016-09-14,28.8,23.1,0.30,15.8,25.5
2016-09-15,28.8,23.4,0.90,16.9,25.5
2016-09-16,28.7,23.0,1.30,20.1,25.3
2016-09-17,29.6,23.1,0.80,18.1,25.4
2016-09-18,28.6,22.6,1.80,19.4,24.9
2016-09-19,30.3,22.6,0.30,18.6,25.8
2016-09-20,30.1,22.6,0.00,19.2,26.0
2016-09-21,29.4,23.0,1.40,18.3,25.8
2016-09-22,29.9,23.2,0.00,20.5,25.8
2016-09-23,29.8,22.9,1.30,19.9,25.5
2016-09-24,29.7,22.9,1.10,19.6,25.6
2016-09-25,29.2,23.2,1.30,19.8,25.4
2016-09-26,29.9,23.3,0.30,17.7,26.1
2016-09-27,30.7,23.8,0.00,16.1,26.4
2016-09-28,29.4,23.8,1.70,14.1,25.6
2016-09-29,28.5,23.6,3.50,16.6,25.2
2016-09-30,29.4,22.9,0.70,17.1,25.5
2016-10-01,30.3,22.7,0.00,17.6,25.6
2016-10-02,31.0,22.7,0.00,15.2,25.9
2016-10-03,31.7,22.7,0.00,15.5,26.4
2016-10-04,31.1,23.0,0.10,17.3,26.3
2016-10-05,31.0,22.9,0.00,16.9,26.3
2016-10-06,31.3,22.7,0.00,16.9,26.3
2016-10-07,31.0,22.3,0.00,17.1,25.9
2016-10-08,30.8,22.7,0.10,18.4,26.0
2016-10-09,31.2,22.7,0.00,20.3,26.2
2016-10-10,30.8,22.4,0.00,18.9,25.9
2016-10-11,30.0,22.4,0.90,17.2,25.8
2016-10-12,30.0,23.7,7.80,14.2,25.5
2016-10-13,28.5,23.6,17.70,9.6,25.2
2016-10-14,30.1,23.7,8.50,5.4,26.1
2016-10-15,30.9,24.2,21.80,6.9,26.3
2016-10-16,31.1,23.8,3.60,6.1,26.4
2016-10-17,30.0,23.2,10.20,9.8,25.6
